Proteins
MaxQuant:feature intensity,ass_0,ass_1,ass_2,ass_3,ass_4,ass_5,ass_6,ass_7,SV_config_2,SV_config_1,SV_config_1_L,SV_config_2_H,SV_config_2_L,SV_config_1_H
prot_61,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_62,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_63,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_64,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_65,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_66,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2171100.0,2312300.0,3296700.0,1958300.0
prot_67,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.2E8,7.8928E7,8.8754E7,1.1581E8
prot_68,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.2078E7,7486000.0,8719400.0,8941000.0
prot_69,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1267300.0,625770.0,1161500.0,694050.0
prot_70,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9163200.0,3142900.0,4212300.0,6671500.0
prot_71,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2625400.0,3000900.0,2271200.0,1834800.0
prot_72,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9172900.0,1.1868E7,1.1651E7,8065000.0
prot_73,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1493700.0,1540300.0,1779800.0,1539100.0
prot_74,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_75,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_76,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2601400.0,1029400.0,1388500.0,2189800.0
prot_77,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_78,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_79,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_80,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_81,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.2102E7,4400400.0,5511800.0,1.0723E7
prot_82,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2.3884E7,1.883E7,2.0355E7,2.1488E7
prot_83,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_84,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,508090.0,43656.0,63159.0,457700.0
prot_85,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_86,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,45865.0,48907.0,0.0
prot_87,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,8266000.0,9168900.0,1.1904E7,6917100.0
prot_88,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_89,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_90,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_91,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4288300.0,3215200.0,4170700.0,2902000.0
prot_92,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_93,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4203600.0,662250.0,755200.0,3566800.0
prot_94,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,396780.0,577530.0,0.0
prot_95,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,5577500.0,3802500.0,3711500.0,4751600.0
prot_96,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_97,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_98,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_99,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.2606E7,1.1916E7,1.4105E7,1.1904E7
prot_100,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3132000.0,1418100.0,1882200.0,2546200.0
prot_101,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_102,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3245800.0,1077500.0,1227100.0,1319500.0
prot_103,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_104,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2.3912E7,1.0003E7,1.2808E7,1.9851E7
prot_105,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,899360.0,831040.0,1225100.0,735650.0
prot_106,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_107,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3612900.0,2169500.0,2296300.0,3166700.0
prot_108,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_109,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.6263E7,7237500.0,8334800.0,1.1361E7
prot_110,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_111,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_112,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_113,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_114,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4.9118E7,3.0628E7,4.0501E7,4.5406E7
prot_115,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_116,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_117,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,5440600.0,1776300.0,1964200.0,4292000.0
prot_118,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_119,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_120,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_121,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,706420.0,250390.0,408780.0,430400.0
prot_122,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,1563700.0,986390.0,0.0
prot_123,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_124,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_125,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_126,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_127,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_128,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_129,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_130,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4525800.0,1654200.0,2123500.0,3673500.0
prot_131,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2857000.0,2752500.0,3372000.0,2992600.0
prot_132,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_133,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,102420.0,21361.0,31876.0,104900.0
