Intensity puf3a	Intensity puf3b	Intensity puf3c	Intensity puf3d	Intensity puf3e	Intensity wta	Intensity wtb	Intensity wtc	Intensity wtd	Intensity wte	Only identified by site	Reverse	Contaminant	t-test Significant	PEP	Intensity	Unique peptides	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage [%]	Peptide IDs	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	-Log t-test p value	t-test Difference	Protein IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T
#!{C:Group1}puf3	puf3	puf3	puf3	puf3	wt	wt	wt	wt	wt																																	
21.79142	22.18104	18.83291	21.74485	22.57596	21.49468	22.19114	20.79495	22.30552	21.24858					4.3017E-20	35389000	6	1	2	0	1	1	1	2	1	2	1	3	NaN	0.5	1.2	0	0.7	0.6	0.5	0.8	0.4	1	0.5	0.0925324796322882	-0.18174133300781	YBL004W	YBL004W
24.67293	23.05938	24.83128	23.70525	24.29866	23.62411	24.10885	24.02064	23.01294	23.51364					7.2644E-39	168130000	8	4	2	4	2	2	2	4	5	2	3	9.8	NaN	5.4	3.9	5.5	3.9	3.9	3.9	5.5	7.7	3.9	4.4	0.576812113140969	0.457462310791016	YBL007C	YBL007C
20.37348	18.90225	21.18665	21.556	19.5928	18.18024	18.29406	18.90168	19.18044	20.71423					2.1615E-07	9142900	3	2	0	1	1	0	0	0	0	1	1	2.7	NaN	1.6	0	1.1	1.1	0	0	0	0	0.7	0.7	1.02362067393237	1.26810417175293	YBL017C	YBL017C
23.87361	23.13198	24.14585	20.6778	25.00496	21.13571	21.13877	22.51309	20.54312	22.94084					3.518E-34	98649000	11	4	3	4	1	6	1	1	3	1	3	14.9	NaN	5.6	3.4	5.6	1.1	8.2	1.1	1.1	3.7	1.1	3.3	1.07916650796839	1.71253242492676	YBL022C	YBL022C
22.05192	18.74428	19.4276	21.67844	22.5636	18.78568	18.89584	18.53899	18.25236	19.07393				+	1.2437E-07	13903000	2	1	0	0	1	1	0	0	0	0	0	2.8	NaN	1.3	0	0	1.5	1.3	0	0	0	0	0	1.65324483792426	2.18381156921387	YBL023C	YBL023C
27.14608	27.14443	27.44884	27.17969	27.29824	25.79902	26.59235	26.26653	26.25665	27.32723				+	7.3528E-143	1286000000	21	9	10	12	11	12	8	11	8	10	11	38.7	NaN	19.2	19	23.2	19	26.2	16.8	22.1	15.2	19.9	19.6	1.8052426227564	0.795100784301759	YBL024W	YBL024W
24.56808	22.39362	24.71172	24.74139	21.63958	24.25969	24.32992	24.21126	24.04902	24.18276					6.9241E-68	186170000	3	1	1	2	2	1	2	2	2	2	1	37.9	NaN	13.7	13.7	24.2	24.2	13.7	24.2	27.4	24.2	27.4	13.7	0.402455450344535	-0.595650100708006	YBL026W	YBL026W
30.19835	29.92663	30.44134	30.57606	30.87569	30.31203	30.33202	30.20967	30.60497	30.02075					2.8644E-116	13930000000	13	7	7	7	10	7	10	10	8	10	9	45.5	NaN	32.8	29.1	33.9	39.2	30.2	39.2	39.2	33.9	40.2	37.6	0.23538114959563	0.107727432250975	YBR084C-A;YBL027W	YBR084C-A;YBL027W
22.94542	22.92318	22.28926	22.78552	22.92855	18.904	21.71343	22.3387	18.09184	22.23847				+	1.9044E-07	50061000	2	2	1	1	1	1	0	1	1	0	1	6.6	NaN	6.6	3.8	3.8	3.8	3.8	0	3.8	3.8	0	3.8	1.32225345493398	2.11709861755371	YBL030C	YBL030C
20.53231	19.34265	21.13326	18.80288	19.69439	19.06983	18.58068	21.94335	19.64072	21.49872					1.1993E-42	12572000	3	2	1	1	0	0	1	1	2	1	1	12.8	NaN	9	3.8	5.2	0	0	5.2	3.8	9	5.2	3.8	0.11740244940535	-0.245563125610353	YBL033C	YBL033C
22.75226	22.40343	19.54382	18.64261	23.92152	17.89889	19.01344	22.13862	21.97872	18.71187					0.00039062	37252000	2	1	1	0	0	2	0	0	1	1	0	2	NaN	1.1	1.1	0	0	2	0	0	1.1	1.1	0	0.532959442138073	1.50442161560058	YBL034C	YBL034C
26.07404	25.54256	26.06462	26.16044	26.59932	25.46955	25.67228	25.1946	24.81392	25.9722				+	5.7562E-94	600030000	8	5	5	5	4	5	3	4	3	3	5	38.5	NaN	25.7	27.6	23.7	25.7	30	19.5	19.5	19.1	19.1	30	1.46681366197283	0.663688659667969	YBL036C	YBL036C
27.10849	27.62178	26.36262	27.07765	27.44411	27.4247	24.70477	26.67882	24.27874	27.19394					1.5425E-195	1250600000	13	6	9	6	6	6	8	4	5	5	8	32.8	NaN	15.9	21.1	12.6	15.5	14.3	18.1	10.2	16.4	12.6	19.2	0.796586251439826	1.06673469543457	YBL039C	YBL039C
25.85728	26.10233	25.81355	26.35363	26.28711	24.34008	25.33582	24.83523	25.02162	26.10977				+	1.9843E-40	559430000	5	3	2	3	3	3	1	3	3	2	3	20.7	NaN	13.3	9.5	13.7	13.7	13.7	4.1	11.2	11.6	7.9	13.7	1.79775076264623	0.954279327392577	YBL041W	YBL041W
24.34313	24.95425	25.09881	25.08006	25.72562	23.35326	24.89023	21.77772	24.45739	24.95136					1.7118E-81	281560000	9	3	3	3	3	4	2	3	1	4	3	23.2	NaN	8.3	8.3	8.1	8.3	12	5.5	9.4	3.1	11.2	10.9	0.964698348270359	1.15438041687012	YBL045C	YBL045C
26.66736	25.88665	26.46209	26.31562	26.74919	26.17621	26.29658	26.34405	25.90621	25.09144					0	799450000	25	13	11	12	11	13	13	13	16	10	7	29.5	NaN	14.6	12	14.6	13.2	15.4	15.6	14.9	19.7	11.7	7.5	0.853774181933138	0.453285217285156	YBL047C	YBL047C
23.68057	23.14504	23.48837	23.16684	24.9558	21.90782	21.99618	18.37889	18.69986	22.11889				+	3.3556E-144	89120000	7	2	3	3	2	6	1	1	0	1	2	31.2	NaN	11.6	15.4	17.5	5.5	30.8	5.1	5.1	0	3.8	10.6	1.99919670141615	3.06699447631836	YBL050W	YBL050W
22.1039	24.08829	24.30257	23.96084	24.75797	22.161	23.59833	23.95677	24.05581	23.91397					2.7291E-44	154650000	5	1	2	3	2	4	1	3	2	3	4	13.8	NaN	1.8	4.3	7.2	4.3	12	1.8	8.4	7.3	9.1	12	0.214597366300363	0.305535507202148	YBL051C	YBL051C
21.09803	20.65831	20.96084	21.05338	21.47912	18.98639	18.01441	20.73628	22.17243	22.22773					5.097E-23	22425000	4	1	1	1	1	1	0	0	1	2	3	11	NaN	2.9	2.9	2.9	2.9	2.9	0	0	2.9	5.7	8.4	0.312063416528501	0.622486114501953	YBL055C	YBL055C
23.81304	23.95473	23.55812	23.72442	23.76466	23.34868	23.18665	23.21694	23.24197	18.55205					9.6527E-24	111360000	1	1	1	1	1	1	1	1	1	1	0	6	NaN	2.4	4.1	2.4	2.4	4.3	2.4	2.4	2.4	2.4	0	0.792351088424831	1.45374031066894	YBL056W	YBL056W
26.35394	26.18667	26.92468	26.73802	26.97257	25.8457	25.65341	26.24409	25.90539	26.23277				+	9.0594E-169	867420000	12	8	9	8	10	11	7	5	9	7	9	41.4	NaN	27.9	30.7	27	35.7	36.4	25.1	18.2	31.9	25.1	32.4	2.02699351098619	0.658903884887696	YBL058W	YBL058W
24.00719	22.74094	24.79333	22.84999	19.34188	22.56848	22.20153	20.99728	21.01482	23.90463					7.0617E-34	91465000	5	2	2	4	2	0	3	2	1	1	3	23.4	NaN	8.4	9.2	19.2	9.2	0	14.9	10.7	4.6	6.1	13.4	0.230983201572945	0.609318161010741	YBL064C	YBL064C
22.81603	19.45958	18.55655	19.24965	19.18628	19.46051	22.55349	23.13355	23.53647	22.76213				+	6.6865E-10	42022000	3	1	0	0	0	0	0	1	1	2	1	17.2	NaN	5.8	2.8	2.8	2.8	2.8	2.8	8.6	8.6	10.7	6.4	1.31250968609876	-2.43561096191406	YBL068W	YBL068W
30.28934	31.01012	29.91897	30.79079	30.79893	29.90038	29.39893	30.19625	29.89324	30.7714					1.916E-115	13986000000	8	7	7	4	7	7	6	6	6	8	5	46	NaN	46	46	28.5	46	46	39	41	41	46	34	0.934743020102437	0.529592132568357	YER102W;YBL072C	YER102W;YBL072C
29.62122	29.87618	29.98128	29.9057	30.00852	29.08005	29.4627	29.4003	28.89718	29.68228				+	0	8334500000	49	34	31	28	33	25	30	31	34	30	33	51.1	NaN	39.6	35.5	33.6	37.6	27.9	34.5	36.3	36.8	34.8	39.8	2.20415525460352	0.57407989501953	YBL076C	YBL076C
28.52694	28.89348	29.52785	28.87241	28.90461	28.14005	28.80993	28.68184	28.72293	28.62631					7.3548E-65	4707900000	7	4	4	5	5	5	4	4	5	4	3	52.6	NaN	37.2	37.2	43.1	39.4	39.4	37.2	37.2	44.5	37.2	31.4	0.921941951398816	0.348846435546875	YER117W;YBL087C	YER117W;YBL087C
20.93121	20.74255	22.73086	19.36828	22.24421	19.45999	19.09534	18.98531	18.81868	19.15741				+	3.8469E-05	15683000	1	1	1	1	0	1	0	0	0	0	0	5.6	2336	5.6	5.6	5.6	0	5.6	0	0	0	0	0	2.07804447247703	2.10007629394531	YBL090W	YBL090W
21.9342	21.56584	23.24612	21.33282	23.6726	21.04093	22.67801	20.58701	21.66258	23.41351					2.2038E-95	58009000	6	2	2	3	2	2	1	2	1	2	3	17.8	NaN	6.4	6.4	10.5	6.4	6.9	3.1	5.2	3.1	5.2	8.6	0.286333333962199	0.473906326293946	YBL091C	YBL091C
29.11339	30.21025	29.0959	29.95726	29.75479	29.74264	29.83518	29.63772	29.54707	28.86319					2.4294E-64	8309200000	8	5	5	5	6	6	5	7	5	5	6	53.8	NaN	35.4	34.6	35.4	40.8	41.5	34.6	46.9	35.4	35.4	41.5	0.136467082796257	0.101159667968748	YBL092W	YBL092W
28.43201	28.20359	29.02871	28.34815	28.89328	27.3379	27.33569	27.28366	26.93315	27.07592				+	1.2098E-117	2831200000	16	8	9	13	9	9	7	8	5	6	6	33.2	NaN	18	20.2	27.3	20.9	20.4	16.3	17.6	12.5	13.8	14.5	4.24594723017128	1.38788604736328	YBL099W	YBL099W
21.25101	22.06901	21.41535	22.2958	22.37727	21.37745	20.449	21.17164	20.41328	22.08868					1.8801E-27	32663000	1	1	1	1	1	1	1	1	1	1	1	6	10878	6	6	6	6	6	6	6	6	6	6	1.10138163074292	0.781678771972658	YBL102W	YBL102W
22.08508	22.74735	22.70071	22.15323	19.77566	21.27657	21.91987	21.78696	21.16232	21.19893					1.7381E-18	37852000	4	2	2	2	2	0	1	2	2	1	1	12.7	NaN	7.2	4.8	7.8	7.2	0	5	5	7.2	5	5	0.320461296391688	0.423476028442384	YBR006W	YBR006W
24.6825	26.11981	26.77856	25.48729	26.34443	24.56314	24.12935	25.77216	25.48305	25.83263					4.4276E-23	554310000	6	2	4	3	2	4	1	2	3	2	2	57.3	NaN	17.5	40.8	29.1	19.4	40.8	7.8	17.5	26.2	19.4	19.4	0.732704169779422	0.726453399658201	YNL030W;YBR009C	YNL030W;YBR009C
22.49263	25.09172	19.62476	22.27207	23.32924	19.57062	21.96395	22.42332	17.80929	22.69324					0.00016979	73759000	2	1	2	0	1	1	0	1	1	0	1	11.8	NaN	5.1	11.8	0	5.1	5.1	0	5.1	5.1	0	5.1	0.630431633177895	1.66999931335449	YNL031C;YBR010W	YNL031C;YBR010W
29.58674	29.27467	30.23181	29.85807	30.12977	29.37296	29.46605	29.56973	29.10169	29.487					0	8426800000	15	10	11	10	11	11	9	10	11	9	12	63.8	NaN	51.6	56.1	46.3	56.1	43.2	40.4	41.5	50.5	43.2	49.8	1.19747328862478	0.416724395751952	YBR011C	YBR011C
21.55169	21.05278	22.03865	21.94439	19.6565	20.93251	20.81441	21.62462	21.23906	21.04753					1.7789E-21	26141000	2	1	1	1	1	1	1	1	1	1	1	4.5	NaN	1.7	1.7	1.7	1.7	2.8	1.7	1.7	1.7	1.7	1.7	0.0947063204449175	0.117176437377928	YBR015C	YBR015C
23.89458	23.86183	24.37345	18.36052	21.18507	23.20687	23.38982	24.14554	23.13585	21.22394					4.0261E-12	105860000	4	1	2	2	0	1	1	1	2	1	1	4.7	NaN	1	2.2	2.3	0	1.2	1	1	2.3	1	1.2	0.22521026742324	-0.685312652587889	YBR017C	YBR017C
29.24511	30.10487	29.03013	29.8069	29.84754	29.32783	29.45637	28.98346	29.38037	29.4241					1.4515E-237	7604900000	21	11	10	7	10	12	10	13	9	10	14	53.3	NaN	30.5	28.9	26.4	28.7	35.3	28.7	38.6	26.6	29.2	37.3	0.662190966064576	0.292485046386719	YBR025C	YBR025C
25.45501	24.46482	23.61941	24.46725	25.18211	25.19809	24.20411	24.38087	24.71858	24.41745					2.437E-25	272980000	7	5	2	2	3	4	5	3	3	4	2	28.9	NaN	22.6	6.1	11.3	13.9	21.3	18.9	8.4	17.6	16.3	6.1	0.0523966764187441	0.0539001464843736	YBR026C	YBR026C
27.56515	21.3083	28.26544	27.18556	19.89085	20.76296	26.84038	27.08608	18.90143	26.63464					1.0659E-06	1045100000	3	1	1	2	2	0	1	2	1	0	1	7.4	NaN	1.5	1.8	5.7	3.3	0	1.8	5.7	1.5	0	1.5	0.121756140141381	0.797959518432616	YBR029C	YBR029C
29.14097	29.15832	29.0776	29.0142	29.04955	28.87932	28.82969	27.11257	28.77338	29.3554					2.05E-277	5117100000	2	2	2	2	2	2	2	2	2	2	2	50.3	NaN	47	45	48.1	48.1	45	40.9	48.1	48.1	47.2	45	0.635577116903867	0.49805564880371	YBR031W	YBR031W
26.00935	25.67724	26.20217	26.70741	26.19306	25.74188	25.81203	26.15929	25.06027	25.70625					6.7088E-62	664410000	8	2	5	4	3	4	3	3	5	4	4	41.7	NaN	15.4	22.8	23.7	20.6	27.2	17.5	15.4	23.7	18.4	24.6	1.02129449104619	0.461898422241209	YBR035C	YBR035C
18.84141	22.55286	20.09047	21.83784	18.91238	19.48047	19.56659	21.35531	21.86435	21.81769					1.8021E-15	20099000	4	1	3	0	1	0	0	0	1	1	2	19.6	NaN	4.5	15.1	0	8	0	0	0	4.5	4.5	11.3	0.154803480637881	-0.369890213012695	YBR039W	YBR039W
18.68437	21.83183	20.08995	21.24795	22.12335	21.12212	20.14108	21.14837	19.38379	21.37571					0.00014401	19960000	1	0	1	0	1	1	1	1	1	1	1	3.6	12951	0	3.6	0	3.6	3.6	3.6	3.6	3.6	3.6	3.6	0.0797709470932778	0.161277389526365	YBR046C	YBR046C
31.06856	31.03446	31.10206	30.98332	31.23438	30.09961	30.87159	30.45012	30.7747	31.08043				+	1.6916E-103	20095000000	12	11	9	9	9	8	10	9	9	9	9	60.3	NaN	60.3	53.8	54.5	54.5	50	54.5	48.1	49.4	48.1	55.1	1.37943252226807	0.429264831542969	YDR025W;YBR048W	YDR025W;YBR048W
23.94905	22.7478	23.40873	23.90076	23.77022	23.39257	23.15112	22.02834	23.24314	23.52325					7.9681E-81	110930000	8	5	2	4	3	2	2	3	1	3	4	18.1	NaN	12.3	5.8	11	9	4.7	7.3	9.5	3.6	9.5	9.5	0.701176206843071	0.487625503540041	YBR049C	YBR049C
22.64557	24.29418	24.6309	24.87582	24.58835	24.87221	22.6739	24.86453	24.07202	23.9686					1.7251E-24	211130000	4	1	2	2	3	2	4	1	3	2	2	11.5	NaN	4.2	7	7	9.5	7	11.5	4.2	9.5	7	7	0.074532461215553	0.116713333129884	YBR053C	YBR053C
22.37581	23.096	22.95276	21.15647	23.22775	22.846	22.60481	22.42206	22.65379	21.0476					1.1643E-54	62991000	4	1	2	1	1	2	2	2	2	2	1	9.2	NaN	2.4	5.2	2.4	2.2	5.2	4.6	5.2	5	4.6	2.8	0.197659891551073	0.246906661987303	YBR056W	YBR056W
20.6529	22.24336	21.67495	22.93697	21.986	18.43447	19.5951	22.34814	19.37757	22.30877					1.1531E-10	33472000	3	1	1	2	3	1	0	1	3	0	2	4.2	NaN	1	1.5	2.7	4.2	1.5	0	1.7	4.2	0	3.2	0.875842764911636	1.48602485656738	YBR058C	YBR058C
27.12485	26.48941	27.24136	27.44853	27.46037	27.004	20.83515	26.37172	26.01229	26.18352					1.7225E-10	1134200000	5	1	1	2	1	1	3	2	1	2	1	6.9	NaN	3.2	3.2	4.1	3.2	3.2	5	2.1	3.2	4.1	3.2	0.857949555281015	1.87156982421875	YBR059C	YBR059C
23.19662	23.92388	24.10117	23.14345	23.70356	23.91269	22.71412	21.82104	21.69247	22.0422				+	9.8661E-28	100540000	4	2	2	3	1	2	3	1	1	1	1	29.9	NaN	15.9	15.9	21.5	7.5	15.9	24.3	7.5	7.5	7.5	7.5	1.50418083145718	1.17723159790039	YBR072W	YBR072W
26.52418	25.78586	23.98885	26.2803	26.32769	26.09148	26.45188	26.24389	26.19338	25.83036					1.8267E-70	715900000	5	4	3	3	3	3	3	3	3	3	3	11.2	NaN	9.6	6.1	9.3	6.1	9.6	7.5	9.3	6.1	9.3	6.1	0.350488147660685	-0.380822753906251	YBR078W	YBR078W
27.62443	27.80082	27.96879	27.95371	28.54381	27.89527	27.10879	26.93596	26.70767	27.99706					1.5363E-223	2255000000	30	11	16	16	16	17	18	12	15	14	19	36.5	NaN	15.5	21.8	21.9	21.7	26.8	25.4	15.6	19.8	18.5	25.5	1.19185392442614	0.64936103820801	YBR079C	YBR079C
23.97237	24.10861	24.62271	24.04793	24.81245	24.77359	24.86613	24.69604	22.90512	23.25223					3.3907E-53	211480000	12	3	4	4	4	3	4	5	5	3	2	19.9	NaN	6.2	5.1	5.1	7.9	4.5	7.5	9.1	8.2	4.6	3	0.18747235354135	0.214192199707032	YBR080C	YBR080C
27.67115	25.603	25.51596	28.05051	27.86756	18.187	19.56607	27.46894	19.37705	25.84802				+	1.2378E-82	1081700000	3	2	1	1	3	2	0	0	1	0	2	37.8	NaN	25.7	18.2	18.2	37.8	25.7	0	0	7.4	0	30.4	1.3984619382351	4.85221862792969	YBR082C;YDR059C	YBR082C
25.10013	24.55836	25.08829	25.26188	25.43148	24.00915	23.9943	23.88297	23.77324	23.92886				+	2.8337E-47	261200000	7	4	2	6	4	4	3	2	3	2	2	9.6	NaN	5.5	3.8	7.6	5.5	5.6	4.9	3	4.2	3.8	3.1	4.22980610370605	1.17032203674317	YBR084W	YBR084W
25.18639	25.15484	21.73616	19.4509	23.78895	24.54704	19.67604	24.80509	19.48815	24.15097					8.1995E-21	165980000	4	1	2	1	0	1	2	0	2	0	2	38.8	NaN	15.3	23.5	15.3	0	14.1	30.6	0	29.4	0	29.4	0.12251920233429	0.529989242553711	YBR085C-A	YBR085C-A
27.38706	26.86609	27.19826	27.84679	27.73551	26.17729	25.99701	26.98804	26.02561	26.61723				+	1.8899E-180	1363900000	11	5	5	7	7	6	5	2	7	3	5	58.1	NaN	24.4	25.6	34.1	35.7	33.7	29.1	12.8	32.9	17.1	25.6	2.39585184999375	1.045703125	YBR088C	YBR088C
